image_id,x,y,w,h,label
front127,0,0,224,146,front
front127,102,128,54,8,nid
front127,67,43,62,9,bname
front127,66,64,54,4,ename
front127,67,80,54,8,fname
front127,67,100,69,8,mname
front127,102,117,40,6,dob
front127,3,122,59,17,sign
front141,1,1,335,208,front
front141,132,79,81,14,bname
front141,184,166,75,10,dob
front141,132,101,88,11,ename
front141,132,123,72,9,fname
front141,155,186,153,12,nid
front141,132,144,56,10,mname
front141,10,168,67,28,sign
front123,64,34,1247,805,front
front123,742,673,283,47,dob
front123,636,749,562,47,nid
front123,557,333,288,55,bname
front123,107,668,246,118,sign
front123,558,508,332,46,fname
front123,557,591,260,44,mname
front123,558,425,415,36,ename
front131,25,-2,2132,1219,front
front131,997,1077,483,64,nid
front131,703,692,540,76,fname
front131,704,398,618,68,bname
front131,697,841,235,67,mname
front131,704,558,514,40,ename
front131,996,984,363,49,dob
front131,114,1009,537,137,sign
front118,80,118,1036,644,front
front118,509,554,199,37,mname
front118,636,605,219,33,dob
front118,508,491,245,37,fname
front118,564,669,473,46,nid
front118,505,417,373,35,ename
front118,507,353,326,43,bname
front118,132,624,211,104,sign
front114,0,5,1690,1055,front
front114,789,941,379,55,nid
front114,546,595,396,63,fname
front114,543,745,311,53,mname
front114,547,340,494,64,bname
front114,791,860,276,46,dob
front114,548,483,424,36,ename
front114,70,893,426,122,sign
front106,1,-4,993,633,front
front106,460,557,221,30,nid
front106,318,202,326,35,bname
front106,317,437,258,38,mname
front106,316,355,354,39,fname
front106,457,509,170,27,dob
front106,318,287,237,20,ename
front106,49,538,246,53,sign
front92,2,-4,808,517,front
front92,371,449,190,28,nid
front92,253,350,154,29,mname
front92,371,408,141,20,dob
front92,257,156,296,28,bname
front92,255,283,187,23,fname
front92,35,428,200,46,sign
front88,5,6,2091,1300,front
front88,981,1157,464,66,nid
front88,686,732,562,79,fname
front88,682,911,377,81,mname
front88,682,419,524,75,bname
front88,686,597,470,41,ename
front88,976,1058,350,49,dob
front88,116,1090,519,155,sign
front90,3,0,502,309,front
front90,234,275,111,16,nid
front90,165,99,84,20,bname
front90,165,175,112,20,fname
front90,233,252,86,12,dob
front90,163,218,80,14,mname
front90,30,262,120,34,sign
front90,167,143,166,120,ename
front82,3,7,506,481,front
front82,211,341,141,34,mname
front82,212,185,159,32,bname
front82,232,440,237,30,nid
front82,211,291,151,28,fname
front82,211,240,172,22,ename
front96,607,685,590,47,nid
front96,719,610,289,42,dob
front96,501,259,314,62,bname
front96,15,-1,1305,787,front
front96,34,552,257,112,sign
front96,500,347,359,35,ename
front96,502,430,312,49,fname
front96,503,512,343,49,mname
front105,2,17,343,219,front
front105,138,98,114,18,bname
front105,161,208,155,14,nid
front105,190,188,76,11,dob
front105,138,123,85,9,ename
front105,138,143,95,14,fname
front105,16,191,69,32,sign
front105,139,165,71,12,mname
front84,35,50,677,420,front
front84,299,203,155,29,bname
front84,344,423,314,24,nid
front84,57,384,134,62,sign
front84,303,291,144,22,fname
front84,404,382,154,24,dob
front84,301,334,130,24,mname
front84,303,252,219,16,ename
front94,75,67,573,364,front
front94,300,240,239,19,ename
front94,338,386,258,23,nid
front94,300,277,122,20,fname
front94,299,200,196,25,bname
front94,299,315,103,19,mname
front94,388,353,123,17,dob
front94,93,357,113,49,sign
front81,77,48,1009,630,front
front81,473,420,229,40,fname
front81,470,486,317,37,mname
front81,472,284,334,42,bname
front81,472,359,353,30,ename
front81,537,619,459,36,nid
front81,620,559,216,29,dob
front81,101,506,193,126,sign
front117,9,0,1027,660,front
front117,314,354,256,44,fname
front117,283,507,230,29,dob
front117,315,223,408,54,bname
front117,317,426,366,40,mname
front117,481,565,271,37,nid
front117,49,472,182,118,sign
front95,1,-3,1008,640,front
front95,301,214,266,49,bname
front95,549,499,220,28,dob
front95,462,559,270,36,nid
front95,300,415,241,35,mname
front95,297,351,346,35,fname
front95,283,285,348,37,ename
front95,27,457,192,115,sign
front139,1,1,679,382,front
front139,325,344,145,20,nid
front139,231,106,189,28,bname
front139,229,208,159,24,fname
front139,229,265,137,26,mname
front139,230,163,147,14,ename
front139,326,312,109,15,dob
front139,55,322,159,48,sign
front115,2,1,454,251,front
front115,188,89,223,21,bname
front115,187,169,226,16,mname
front115,245,193,99,11,dob
front115,210,219,212,15,nid
front115,14,187,95,37,sign
front115,190,143,199,18,fname
front137,2,23,1000,573,front
front137,452,523,267,35,nid
front137,544,469,218,27,dob
front137,40,425,179,117,sign
front137,301,390,269,33,mname
front137,301,328,257,37,fname
front137,290,274,346,26,ename
front137,309,209,305,43,bname
front113,6,-1,876,534,front
front113,373,359,136,30,mname
front113,373,199,237,32,bname
front113,372,304,223,33,fname
front113,416,463,381,28,dob
front113,371,254,228,23,ename
front113,48,409,180,94,sign
front126,3,19,432,263,front
front126,175,112,143,18,bname
front126,204,247,195,17,nid
front126,176,142,170,13,ename
front126,240,223,94,12,dob
front126,22,225,82,38,sign
front126,176,167,122,15,fname
front126,176,196,117,14,mname
front101,1,-4,1013,642,front
front101,554,496,229,35,dob
front101,296,347,281,35,fname
front101,271,284,469,31,ename
front101,299,414,253,35,mname
front101,460,555,275,35,nid
front101,300,211,310,47,bname
front101,27,460,189,113,sign
front143,-1,257,547,291,front
front143,142,143,133,18,fname
front143,141,78,109,18,bname
front143,202,226,94,14,nid
front143,141,178,107,13,mname
front143,141,114,103,9,ename
front143,201,206,70,12,dob
front143,28,221,107,28,sign
front55,5,0,709,406,front
front55,339,355,152,22,nid
front55,244,125,133,22,bname
front55,244,225,153,22,fname
front55,338,324,112,17,dob
front55,244,277,126,23,mname
front55,63,338,165,50,sign
front55,140,106,442,260,ename
front87,416,252,330,52,bname
front87,569,517,220,37,dob
front87,416,382,265,40,fname
front87,43,522,207,89,sign
front87,416,323,294,27,ename
front87,413,448,284,34,mname
front87,11,20,1029,633,front
front87,480,575,465,40,nid
front85,12,7,908,572,front
front85,387,396,190,36,mname
front85,387,337,329,38,fname
front85,429,507,414,33,nid
front85,385,281,415,27,ename
front85,498,449,196,24,dob
front85,47,439,183,85,sign
front85,386,216,437,41,bname
front83,477,560,222,31,nid
front83,6,-1,1002,628,front
front83,335,210,145,32,bname
front83,475,513,163,26,dob
front83,333,446,188,28,mname
front83,333,363,246,36,fname
front83,70,547,242,55,sign
front83,14,17,998,617,ename
front103,15,1,1022,637,front
front103,422,238,341,45,bname
front103,420,367,248,39,fname
front103,484,562,457,41,nid
front103,572,502,231,38,dob
front103,50,500,205,92,sign
front103,423,306,352,29,ename
front103,421,431,276,36,mname
front111,12,168,68,27,sign
front111,186,166,74,10,dob
front111,132,80,25,15,bname
front111,1,0,338,212,front
front111,133,144,55,11,mname
front111,15,22,319,186,ename
front111,156,186,153,13,nid
front111,134,120,102,12,fname
front112,24,58,530,328,front
front112,247,165,156,27,bname
front112,322,300,139,19,dob
front112,246,226,174,23,fname
front112,246,200,147,16,ename
front112,268,333,197,24,nid
front112,43,315,117,53,sign
front112,247,263,107,17,mname
front109,3,5,493,314,front
front109,229,282,107,16,nid
front109,161,113,138,19,bname
front109,162,226,145,17,mname
front109,230,260,78,11,dob
front109,162,188,126,15,fname
front109,163,153,126,10,ename
front109,40,265,112,39,sign
front129,1,0,540,384,front
front129,260,335,130,21,nid
front129,181,110,175,26,bname
front129,179,206,152,27,fname
front129,259,304,99,17,dob
front129,178,260,119,19,mname
front129,21,314,142,50,sign
front129,180,164,160,12,ename
front89,24,28,522,319,front
front89,240,209,118,24,fname
front89,241,243,101,21,mname
front89,238,141,135,25,bname
front89,240,178,153,17,ename
front89,45,271,109,55,sign
front89,268,305,237,21,nid
front89,304,271,118,15,dob
front93,50,59,1023,642,front
front93,521,625,268,38,nid
front93,359,482,252,42,mname
front93,86,524,196,125,sign
front93,361,280,375,52,bname
front93,356,415,327,41,fname
front93,608,568,228,27,dob
front93,350,352,526,31,ename
front119,7,8,1026,641,front
front119,485,568,269,36,nid
front119,318,356,381,40,fname
front119,573,508,223,29,dob
front119,321,223,409,53,bname
front119,304,295,436,29,ename
front119,323,431,239,30,mname
front119,54,473,188,88,sign
front119,53,474,187,85,addr
front122,54,307,4051,2563,front
front122,2007,2520,1058,158,nid
front122,2359,2286,847,141,dob
front122,1367,1191,1139,178,bname
front122,272,2175,784,488,sign
front122,1380,1990,860,143,mname
front122,1349,1718,983,145,fname
front122,1457,1478,1185,108,ename
front99,2,1,1007,633,front
front99,325,211,167,39,bname
front99,467,564,223,31,nid
front99,324,450,164,36,mname
front99,467,517,167,23,dob
front99,325,368,207,30,fname
front99,62,531,237,73,sign
front99,331,302,324,231,ename
front91,29,33,998,621,front
front91,487,578,453,38,nid
front91,326,439,282,42,mname
front91,324,377,321,39,fname
front91,570,520,224,28,dob
front91,323,242,397,53,bname
front91,71,496,174,114,sign
front91,310,314,394,27,ename
front97,19,10,1029,644,front
front97,427,251,315,44,bname
front97,429,325,369,30,ename
front97,577,524,222,28,dob
front97,428,388,328,35,fname
front97,61,521,202,88,sign
front97,427,456,283,32,mname
front97,491,583,455,37,nid
front135,196,10,297,188,front
front135,207,153,61,32,sign
front135,333,172,138,12,nid
front135,317,116,75,12,fname
front135,353,153,64,10,dob
front135,317,137,46,9,mname
front135,317,78,88,11,bname
front135,317,98,100,9,ename
front136,45,42,1023,634,front
front136,79,546,204,93,sign
front136,512,601,466,37,nid
front136,599,540,225,36,dob
front136,445,279,437,45,bname
front136,447,404,304,39,fname
front136,447,473,187,36,mname
front133,135,0,1020,643,front
front133,600,565,223,31,nid
front133,462,207,232,36,bname
front133,459,443,231,35,mname
front133,459,365,295,33,fname
front133,600,517,167,24,dob
front133,461,292,185,21,ename
front133,200,530,230,67,sign
front107,3,3,1015,645,front
front107,401,243,330,52,bname
front107,400,318,297,30,ename
front107,550,517,226,28,dob
front107,399,446,297,35,mname
